              precision    recall  f1-score   support

        none       1.00      1.00      1.00    181325
 start of AT       1.00      1.00      1.00      9360
  mark of AT       0.98      0.99      0.99      3795

    accuracy                           1.00    194480
   macro avg       0.99      1.00      0.99    194480
weighted avg       1.00      1.00      1.00    194480

