              precision    recall  f1-score   support

    negative       0.98      0.96      0.97       990
     neutral       0.96      0.91      0.94       577
    positive       0.97      0.99      0.98      2035

    accuracy                           0.97      3602
   macro avg       0.97      0.96      0.96      3602
weighted avg       0.97      0.97      0.97      3602

